,0
0,Bihar
1,Chhattisgarh
2,Goa
3,Gujarat
4,Haryana
5,Himachal Pradesh
6,Jharkhand
7,Karnataka
8,Kerala
9,Madhya Pradesh
10,Maharashtra
11,Manipur
12,Meghalaya
13,Mizoram
14,Nagaland
15,Odisha
16,Punjab
17,Rajasthan
18,Sikkim
19,Tamil Nadu
20,Telangana
21,Tripura
22,Uttar Pradesh
23,Uttarakhand
24,West Bengal
25,Andaman And Nicobar Islands
26,Chandigarh
27,Dadra And Nagar Haveli And Daman And Diu
28,Delhi
29,Jammu And Kashmir
30,Ladakh
31,Lakshadweep
32,Puducherry
